DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
549284,1,0,"2016-03-17 00:02:57",74,21,93,0,"1225222"
549285,1,1,"2016-03-17 00:03:35",66,10,83,0,"1225449"
549286,1,1,"2016-03-17 00:03:36",70,18,82,0,"1225462"
549287,1,0,"2016-03-17 00:05:53",81,19,79,0,"1226170"
549288,1,1,"2016-03-17 00:07:01",83,31,77,0,"1226320"
549289,1,0,"2016-03-17 00:09:45",87,33,64,0,"1227469"
549290,1,0,"2016-03-17 00:18:12",78,24,86,0,"1230154"
549291,1,0,"2016-03-17 00:20:58",73,22,84,0,"1230719"
549292,1,0,"2016-03-17 00:34:56",69,16,67,0,"1234468"
549293,1,0,"2016-03-17 00:35:47",53,18,126,0,"1235003"
549294,1,0,"2016-03-17 00:35:47",73,24,88,0,"1235010"
549295,1,1,"2016-03-17 00:56:19",58,19,120,0,"1240093"
549296,1,1,"2016-03-17 01:14:23",67,23,125,0,"1243763"
549297,1,0,"2016-03-17 01:30:09",57,23,80,0,"1246476"
549298,1,1,"2016-03-17 01:32:17",43,10,139,0,"1246786"
549299,1,1,"2016-03-17 01:32:18",67,19,131,0,"1246792"
549300,1,0,"2016-03-17 01:44:58",80,23,82,0,"1248443"
549301,1,1,"2016-03-17 03:33:22",78,24,127,0,"1257990"
549302,1,0,"2016-03-17 03:35:07",68,22,84,0,"1258031"
549303,1,0,"2016-03-17 03:54:58",85,27,64,0,"1259255"
549304,1,0,"2016-03-17 03:57:23",43,22,125,0,"1259436"
549305,1,0,"2016-03-17 04:33:35",49,7,78,0,"1261846"
549306,1,0,"2016-03-17 04:46:09",70,25,89,0,"1262821"
549307,1,1,"2016-03-17 04:47:33",62,16,116,0,"1263080"
549308,1,1,"2016-03-17 04:48:36",68,23,127,0,"1263365"
549309,1,1,"2016-03-17 04:49:04",63,13,130,0,"1263440"
549310,1,1,"2016-03-17 05:00:58",41,18,106,0,"1264600"
549311,1,1,"2016-03-17 05:01:05",72,23,110,0,"1264611"
549312,1,0,"2016-03-17 05:04:59",69,22,92,0,"1264990"
549313,1,1,"2016-03-17 05:12:40",41,17,161,0,"1266183"
549314,1,0,"2016-03-17 05:19:15",91,28,108,0,"1267367"
549315,1,1,"2016-03-17 05:22:51",38,18,133,0,"1267865"
549316,1,1,"2016-03-17 05:26:15",70,21,133,0,"1268346"
549317,1,0,"2016-03-17 05:29:01",77,24,86,0,"1268910"
549318,1,1,"2016-03-17 05:30:58",66,17,116,0,"1269245"
549319,1,1,"2016-03-17 05:31:34",64,20,119,0,"1269337"
549320,1,1,"2016-03-17 05:31:41",72,17,114,0,"1269398"
549321,1,1,"2016-03-17 05:34:04",60,21,140,0,"1269981"
549322,1,1,"2016-03-17 05:36:43",69,18,115,0,"1270753"
549323,1,0,"2016-03-17 05:45:48",77,25,86,0,"1272976"
549324,1,0,"2016-03-17 05:48:39",38,21,164,0,"1274206"
549325,1,0,"2016-03-17 05:57:45",71,23,124,0,"1276815"
549326,1,0,"2016-03-17 05:59:37",65,24,131,0,"1277236"
549327,1,0,"2016-03-17 06:01:25",69,25,92,0,"1277632"
549328,1,1,"2016-03-17 06:05:34",69,28,123,0,"1278390"
549329,1,0,"2016-03-17 06:14:10",67,28,94,0,"1280435"
549330,1,0,"2016-03-17 06:15:53",63,26,127,0,"1280789"
549331,1,0,"2016-03-17 06:16:01",72,29,84,0,"1280808"
549332,1,0,"2016-03-17 06:16:02",41,26,143,0,"1280806"
549333,1,1,"2016-03-17 06:16:35",72,30,111,0,"1280922"
549334,1,1,"2016-03-17 06:17:20",39,25,129,0,"1281139"
549335,1,1,"2016-03-17 06:17:27",70,30,138,0,"1281155"
549336,1,1,"2016-03-17 06:18:11",77,34,126,0,"1281288"
549337,1,1,"2016-03-17 06:18:19",74,33,130,0,"1281341"
549338,1,0,"2016-03-17 06:20:00",74,36,93,0,"1281714"
549339,1,1,"2016-03-17 06:21:37",67,31,137,0,"1282012"
549340,1,0,"2016-03-17 06:23:06",68,33,126,0,"1282391"
549341,1,1,"2016-03-17 06:25:09",67,28,131,0,"1282978"
549342,1,0,"2016-03-17 06:25:23",55,21,165,0,"1283053"
549343,1,1,"2016-03-17 06:27:05",68,29,130,0,"1283488"
549344,1,0,"2016-03-17 06:27:31",62,28,84,0,"1283510"
549345,1,1,"2016-03-17 06:32:00",69,26,116,0,"1284748"
549346,1,1,"2016-03-17 06:32:02",67,26,123,0,"1284774"
549347,1,1,"2016-03-17 06:32:31",69,30,67,0,"1284879"
549348,1,1,"2016-03-17 06:32:32",73,32,116,0,"1284882"
549349,1,1,"2016-03-17 06:33:52",43,23,136,0,"1285210"
549350,1,1,"2016-03-17 06:34:09",78,32,116,0,"1285271"
549351,1,1,"2016-03-17 06:35:06",76,33,108,0,"1285617"
549352,1,0,"2016-03-17 06:35:17",71,33,89,0,"1285739"
549353,1,1,"2016-03-17 06:35:52",71,32,134,0,"1285831"
549354,1,0,"2016-03-17 06:36:14",65,29,97,0,"1285962"
549355,1,0,"2016-03-17 06:36:23",63,34,141,0,"1286042"
549356,1,1,"2016-03-17 06:36:38",62,31,114,0,"1286204"
549357,1,0,"2016-03-17 06:37:35",67,28,101,0,"1286607"
549358,1,0,"2016-03-17 06:39:28",60,26,134,0,"1287284"
549359,1,0,"2016-03-17 06:39:31",65,28,88,0,"1287303"
549360,1,0,"2016-03-17 06:40:04",70,28,94,0,"1287568"
549361,1,1,"2016-03-17 06:41:35",70,28,134,0,"1287884"
549362,1,1,"2016-03-17 06:43:18",69,33,128,0,"1288609"
549363,1,1,"2016-03-17 06:43:41",69,26,113,0,"1288922"
549364,1,1,"2016-03-17 06:43:47",70,30,121,0,"1288942"
549365,1,0,"2016-03-17 06:44:44",60,28,118,0,"1289108"
549366,1,0,"2016-03-17 06:44:55",42,32,144,0,"1289171"
549367,1,0,"2016-03-17 06:45:30",69,33,133,0,"1289506"
549368,1,0,"2016-03-17 06:45:39",71,35,90,0,"1289514"
549369,1,1,"2016-03-17 06:46:44",62,30,83,0,"1289854"
549370,1,0,"2016-03-17 06:47:16",48,27,92,0,"1290121"
549371,1,0,"2016-03-17 06:47:49",61,29,119,0,"1290261"
549372,1,0,"2016-03-17 06:47:52",48,23,76,0,"1290295"
549373,1,1,"2016-03-17 06:48:25",45,26,83,0,"1290604"
549374,1,1,"2016-03-17 06:48:59",69,20,126,0,"1290762"
549375,1,1,"2016-03-17 06:49:05",58,26,118,0,"1290769"
549376,1,1,"2016-03-17 06:50:03",74,32,124,0,"1291094"
549377,1,1,"2016-03-17 06:50:05",70,29,122,0,"1291122"
