DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
503297,1,0,"2016-02-24 00:21:10",42,21,65,0,"45277"
503298,1,0,"2016-02-24 00:21:53",40,22,55,0,"45338"
503299,1,1,"2016-02-24 00:35:41",45,14,82,0,"47437"
503300,1,0,"2016-02-24 00:36:33",35,21,59,0,"47528"
503301,1,1,"2016-02-24 00:38:45",33,19,88,0,"47675"
503302,1,0,"2016-02-24 00:39:40",42,24,89,0,"47794"
503303,1,0,"2016-02-24 00:47:52",34,16,55,0,"48850"
503304,1,0,"2016-02-24 00:47:52",35,17,92,0,"48849"
503305,1,1,"2016-02-24 00:54:42",44,13,78,0,"49473"
503306,1,0,"2016-02-24 00:54:54",44,17,69,0,"49491"
503307,1,1,"2016-02-24 00:57:03",50,6,62,0,"49706"
503308,1,1,"2016-02-24 00:57:05",37,15,73,0,"49713"
503309,1,1,"2016-02-24 00:57:14",46,20,87,0,"49732"
503310,1,0,"2016-02-24 01:00:47",41,19,113,0,"50069"
503311,1,1,"2016-02-24 01:01:00",45,16,83,0,"50101"
503312,1,0,"2016-02-24 01:46:26",43,20,90,0,"52909"
503313,1,1,"2016-02-24 04:31:43",45,17,98,0,"58218"
503314,1,1,"2016-02-24 04:38:21",48,20,61,0,"58389"
503315,1,1,"2016-02-24 04:47:48",47,15,83,0,"59255"
503316,1,0,"2016-02-24 04:53:01",45,17,61,0,"59726"
503317,1,1,"2016-02-24 04:57:37",45,20,91,0,"59949"
503318,1,0,"2016-02-24 05:02:33",44,21,62,0,"60306"
503319,1,1,"2016-02-24 05:11:48",41,21,81,0,"61264"
503320,1,1,"2016-02-24 05:14:15",39,18,80,0,"61630"
503321,1,1,"2016-02-24 05:15:47",41,18,62,0,"61705"
503322,1,1,"2016-02-24 05:22:13",75,11,97,0,"62515"
503323,1,0,"2016-02-24 05:24:21",46,22,67,0,"62795"
503324,1,1,"2016-02-24 05:30:02",48,22,80,0,"63798"
503325,1,1,"2016-02-24 05:33:23",39,20,76,0,"64497"
503326,1,0,"2016-02-24 05:39:08",35,20,87,0,"65987"
503327,1,1,"2016-02-24 05:39:25",76,23,88,0,"66074"
503328,1,0,"2016-02-24 05:41:33",62,15,55,0,"66537"
503329,1,1,"2016-02-24 05:47:20",34,19,94,0,"67894"
503330,1,0,"2016-02-24 05:51:48",50,26,81,0,"68951"
503331,1,1,"2016-02-24 05:55:17",53,28,91,0,"69737"
503332,1,0,"2016-02-24 05:57:16",45,27,95,0,"70054"
503333,1,0,"2016-02-24 05:58:12",33,22,87,0,"70157"
503334,1,0,"2016-02-24 05:58:57",51,25,88,0,"70225"
503335,1,1,"2016-02-24 06:00:58",52,32,87,0,"70828"
503336,1,0,"2016-02-24 06:01:16",57,33,86,0,"70876"
503337,1,1,"2016-02-24 06:02:40",50,26,85,0,"71141"
503338,1,1,"2016-02-24 06:04:18",38,24,75,0,"71399"
503339,1,0,"2016-02-24 06:08:22",49,31,91,0,"72209"
503340,1,1,"2016-02-24 06:09:36",53,31,72,0,"72474"
503341,1,1,"2016-02-24 06:10:53",54,31,77,0,"72633"
503342,1,1,"2016-02-24 06:11:08",49,27,80,0,"72733"
503343,1,1,"2016-02-24 06:11:10",47,29,85,0,"72747"
503344,1,1,"2016-02-24 06:12:29",52,29,77,0,"72913"
503345,1,1,"2016-02-24 06:13:14",39,32,86,0,"73137"
503346,1,0,"2016-02-24 06:13:36",35,25,82,0,"73227"
503347,1,0,"2016-02-24 06:13:37",47,28,97,0,"73231"
503348,1,0,"2016-02-24 06:15:40",42,25,78,0,"73595"
503349,1,1,"2016-02-24 06:19:09",53,35,86,0,"74443"
503350,1,1,"2016-02-24 06:19:14",57,36,82,0,"74484"
503351,1,1,"2016-02-24 06:19:23",46,30,87,0,"74565"
503352,1,0,"2016-02-24 06:20:15",48,32,89,0,"74746"
503353,1,1,"2016-02-24 06:22:27",51,34,77,0,"75092"
503354,1,0,"2016-02-24 06:23:01",48,31,87,0,"75294"
503355,1,1,"2016-02-24 06:24:32",50,33,88,0,"75720"
503356,1,1,"2016-02-24 06:25:45",49,35,87,0,"75936"
503357,1,1,"2016-02-24 06:25:46",46,33,84,0,"75945"
503358,1,1,"2016-02-24 06:25:50",41,30,94,0,"75973"
503359,1,0,"2016-02-24 06:28:27",47,29,77,0,"76755"
503360,1,1,"2016-02-24 06:29:11",48,32,80,0,"76900"
503361,1,1,"2016-02-24 06:29:16",50,35,89,0,"76974"
503362,1,1,"2016-02-24 06:29:19",51,34,86,0,"76993"
503363,1,1,"2016-02-24 06:30:05",33,25,100,0,"77158"
503364,1,1,"2016-02-24 06:30:10",49,30,85,0,"77178"
503365,1,1,"2016-02-24 06:33:01",48,31,74,0,"77867"
503366,1,0,"2016-02-24 06:33:17",48,30,87,0,"77892"
503367,1,0,"2016-02-24 06:33:56",41,23,87,0,"77950"
503368,1,1,"2016-02-24 06:34:34",51,34,79,0,"78208"
503369,1,1,"2016-02-24 06:35:55",49,32,75,0,"78384"
503370,1,1,"2016-02-24 06:36:00",44,31,75,0,"78413"
503371,1,0,"2016-02-24 06:37:47",54,37,89,0,"78894"
503372,1,1,"2016-02-24 06:39:28",41,27,83,0,"79476"
503373,1,0,"2016-02-24 06:39:42",50,32,86,0,"79587"
503374,1,1,"2016-02-24 06:40:03",51,33,82,0,"79642"
503375,1,1,"2016-02-24 06:40:03",49,30,77,0,"79648"
503376,1,1,"2016-02-24 06:40:04",49,31,77,0,"79654"
503377,1,1,"2016-02-24 06:40:10",49,29,75,0,"79674"
503378,1,1,"2016-02-24 06:40:57",56,34,84,0,"79979"
503379,1,1,"2016-02-24 06:41:04",37,27,79,0,"80082"
503380,1,0,"2016-02-24 06:41:13",49,33,86,0,"80163"
503381,1,1,"2016-02-24 06:41:38",46,28,75,0,"80300"
503382,1,1,"2016-02-24 06:41:39",47,27,95,0,"80307"
503383,1,1,"2016-02-24 06:41:45",50,29,85,0,"80319"
503384,1,0,"2016-02-24 06:42:17",48,27,86,0,"80431"
503385,1,1,"2016-02-24 06:42:33",45,25,75,0,"80534"
503386,1,1,"2016-02-24 06:43:25",54,30,82,0,"80880"
503387,1,0,"2016-02-24 06:43:48",54,36,101,0,"80937"
503388,1,0,"2016-02-24 06:43:51",57,39,88,0,"80940"
503389,1,0,"2016-02-24 06:43:58",57,36,88,0,"80946"
503390,1,1,"2016-02-24 06:44:23",51,34,76,0,"81114"
503391,1,1,"2016-02-24 06:46:08",50,28,76,0,"81787"
503392,1,0,"2016-02-24 06:46:41",54,32,121,0,"81913"
503393,1,1,"2016-02-24 06:47:30",64,36,82,0,"82069"
503394,1,1,"2016-02-24 06:47:31",51,32,76,0,"82084"
503395,1,1,"2016-02-24 06:47:35",54,29,71,0,"82130"
503396,1,0,"2016-02-24 06:49:08",50,33,80,0,"82498"
503397,1,0,"2016-02-24 06:49:12",48,34,81,0,"82529"
503398,1,0,"2016-02-24 06:49:21",46,30,95,0,"82633"
503399,1,1,"2016-02-24 06:49:27",49,29,76,0,"82754"
503400,1,1,"2016-02-24 06:50:59",62,55,92,0,"83396"
503401,1,0,"2016-02-24 06:52:13",47,28,90,0,"83838"
503402,1,1,"2016-02-24 06:52:29",50,33,78,0,"83916"
503403,1,0,"2016-02-24 06:54:48",32,31,102,0,"84912"
503404,1,0,"2016-02-24 06:55:39",52,33,81,0,"85057"
503405,1,0,"2016-02-24 06:55:40",54,39,102,0,"85058"
503406,1,1,"2016-02-24 06:56:00",65,39,73,0,"85255"
503407,1,1,"2016-02-24 06:57:41",49,31,83,0,"85983"
503408,1,1,"2016-02-24 06:57:42",51,33,84,0,"85992"
503409,1,1,"2016-02-24 06:57:43",50,30,84,0,"86002"
503410,1,0,"2016-02-24 06:57:49",49,32,78,0,"86082"
503411,1,0,"2016-02-24 06:57:50",51,35,90,0,"86093"
503412,1,0,"2016-02-24 06:57:56",48,35,97,0,"86163"
503413,1,1,"2016-02-24 06:58:29",48,33,79,0,"86367"
503414,1,1,"2016-02-24 06:58:32",49,33,84,0,"86379"
503415,1,0,"2016-02-24 06:59:29",49,33,98,0,"86714"
503416,1,0,"2016-02-24 07:00:01",49,35,77,0,"86866"
503417,1,0,"2016-02-24 07:01:01",49,32,101,0,"87201"
503418,1,0,"2016-02-24 07:01:29",50,36,89,0,"87403"
503419,1,0,"2016-02-24 07:02:28",51,38,101,0,"87607"
503420,1,0,"2016-02-24 07:02:41",51,41,94,0,"87817"
503421,1,1,"2016-02-24 07:02:46",50,31,86,0,"87869"
503422,1,0,"2016-02-24 07:03:17",50,35,79,0,"88073"
503423,1,0,"2016-02-24 07:03:52",51,36,89,0,"88163"
503424,1,1,"2016-02-24 07:04:22",68,49,86,0,"88382"
503425,1,1,"2016-02-24 07:04:47",48,34,76,0,"88547"
503426,1,0,"2016-02-24 07:05:00",47,34,94,0,"88593"
503427,1,0,"2016-02-24 07:05:45",50,35,79,0,"88772"
503428,1,1,"2016-02-24 07:05:54",53,33,85,0,"88840"
503429,1,0,"2016-02-24 07:06:19",43,32,86,0,"89047"
503430,1,1,"2016-02-24 07:07:31",54,39,79,0,"89341"
503431,1,1,"2016-02-24 07:07:33",51,32,84,0,"89364"
503432,1,1,"2016-02-24 07:07:40",52,33,74,0,"89508"
503433,1,1,"2016-02-24 07:07:43",38,31,71,0,"89567"
503434,1,1,"2016-02-24 07:07:49",47,28,74,0,"89625"
503435,1,1,"2016-02-24 07:08:02",45,32,91,0,"89709"
503436,1,1,"2016-02-24 07:09:26",50,29,76,0,"90459"
503437,1,1,"2016-02-24 07:09:30",47,32,85,0,"90547"
503438,1,0,"2016-02-24 07:09:37",48,31,97,0,"90674"
503439,1,1,"2016-02-24 07:09:57",46,34,80,0,"90766"
503440,1,1,"2016-02-24 07:11:05",42,30,86,0,"91262"
503441,1,1,"2016-02-24 07:11:12",49,31,92,0,"91353"
503442,1,1,"2016-02-24 07:11:13",51,29,78,0,"91366"
503443,1,0,"2016-02-24 07:11:22",44,27,90,0,"91477"
503444,1,1,"2016-02-24 07:12:58",47,34,81,0,"92004"
503445,1,0,"2016-02-24 07:13:20",44,30,98,0,"92068"
503446,1,0,"2016-02-24 07:13:36",45,28,92,0,"92110"
503447,1,0,"2016-02-24 07:13:52",49,33,93,0,"92204"
503448,1,0,"2016-02-24 07:13:54",50,34,83,0,"92210"
503449,1,1,"2016-02-24 07:14:11",47,30,67,0,"92308"
503450,1,1,"2016-02-24 07:14:23",52,35,80,0,"92444"
503451,1,0,"2016-02-24 07:15:11",48,33,86,0,"92762"
503452,1,0,"2016-02-24 07:15:26",50,33,86,0,"92863"
503453,1,0,"2016-02-24 07:15:32",49,35,96,0,"92894"
503454,1,0,"2016-02-24 07:15:39",43,31,86,0,"92915"
503455,1,0,"2016-02-24 07:15:51",46,29,79,0,"92989"
503456,1,0,"2016-02-24 07:15:53",51,29,89,0,"93013"
503457,1,1,"2016-02-24 07:15:57",69,39,76,0,"93076"
503458,1,1,"2016-02-24 07:15:58",50,33,77,0,"93117"
503459,1,0,"2016-02-24 07:16:03",41,29,80,0,"93174"
503460,1,1,"2016-02-24 07:16:13",51,32,83,0,"93285"
503461,1,0,"2016-02-24 07:17:16",46,31,86,0,"93459"
503462,1,0,"2016-02-24 07:17:36",34,19,127,0,"93488"
503463,1,1,"2016-02-24 07:17:51",54,32,85,0,"93832"
503464,1,1,"2016-02-24 07:18:11",52,33,84,0,"94013"
503465,1,0,"2016-02-24 07:18:31",48,33,77,0,"94107"
503466,1,0,"2016-02-24 07:18:59",57,49,89,0,"94224"
503467,1,1,"2016-02-24 07:18:59",65,69,60,0,"94218"
503468,1,1,"2016-02-24 07:19:19",53,32,86,0,"94380"
503469,1,0,"2016-02-24 07:20:29",46,33,86,0,"94755"
503470,1,1,"2016-02-24 07:20:50",57,36,84,0,"94852"
503471,1,1,"2016-02-24 07:20:57",53,31,74,0,"94970"
503472,1,1,"2016-02-24 07:20:59",48,32,83,0,"94983"
503473,1,1,"2016-02-24 07:22:35",51,33,84,0,"95558"
503474,1,1,"2016-02-24 07:22:38",50,33,82,0,"95603"
503475,1,0,"2016-02-24 07:23:06",47,29,98,0,"95836"
503476,1,0,"2016-02-24 07:23:53",47,35,83,0,"96037"
503477,1,0,"2016-02-24 07:24:12",49,32,89,0,"96222"
503478,1,0,"2016-02-24 07:24:15",50,38,89,0,"96260"
503479,1,0,"2016-02-24 07:25:34",49,30,96,0,"96673"
503480,1,1,"2016-02-24 07:25:58",52,34,85,0,"96973"
503481,1,1,"2016-02-24 07:26:18",44,29,92,0,"97267"
503482,1,1,"2016-02-24 07:27:39",48,29,88,0,"97874"
503483,1,1,"2016-02-24 07:27:40",52,33,84,0,"97884"
503484,1,0,"2016-02-24 07:27:43",47,32,81,0,"97898"
503485,1,1,"2016-02-24 07:27:48",48,30,81,0,"97916"
503486,1,1,"2016-02-24 07:28:12",47,29,76,0,"98094"
503487,1,1,"2016-02-24 07:28:25",48,32,86,0,"98204"
503488,1,1,"2016-02-24 07:28:39",49,33,87,0,"98417"
503489,1,0,"2016-02-24 07:28:53",46,28,81,0,"98578"
503490,1,0,"2016-02-24 07:30:04",49,31,93,0,"99080"
503491,1,1,"2016-02-24 07:30:07",51,33,78,0,"99153"
503492,1,1,"2016-02-24 07:30:09",53,32,87,0,"99173"
503493,1,1,"2016-02-24 07:30:20",47,30,80,0,"99263"
503494,1,1,"2016-02-24 07:30:23",44,31,86,0,"99292"
503495,1,0,"2016-02-24 07:30:44",42,29,89,0,"99557"
503496,1,1,"2016-02-24 07:30:56",50,29,78,0,"99625"
503497,1,0,"2016-02-24 07:31:36",47,35,79,0,"99806"
503498,1,0,"2016-02-24 07:31:40",33,24,112,0,"99845"
503499,1,0,"2016-02-24 07:32:12",50,34,93,0,"100282"
503500,1,1,"2016-02-24 07:32:32",49,32,84,0,"100526"
503501,1,1,"2016-02-24 07:33:04",51,35,89,0,"100933"
503502,1,0,"2016-02-24 07:33:59",48,38,79,0,"101325"
503503,1,0,"2016-02-24 07:34:35",49,34,83,0,"101742"
503504,1,1,"2016-02-24 07:34:47",50,34,99,0,"101857"
503505,1,1,"2016-02-24 07:34:49",50,32,78,0,"101892"
503506,1,1,"2016-02-24 07:34:51",54,30,79,0,"101910"
503507,1,1,"2016-02-24 07:34:59",58,34,75,0,"102000"
503508,1,1,"2016-02-24 07:35:06",54,35,91,0,"102051"
503509,1,1,"2016-02-24 07:35:11",53,37,86,0,"102094"
503510,1,0,"2016-02-24 07:35:37",49,34,89,0,"102238"
503511,1,0,"2016-02-24 07:36:05",48,32,77,0,"102380"
503512,1,1,"2016-02-24 07:36:40",46,34,86,0,"103039"
503513,1,1,"2016-02-24 07:37:04",47,29,88,0,"103388"
503514,1,1,"2016-02-24 07:37:17",52,32,88,0,"103507"
503515,1,0,"2016-02-24 07:38:02",47,28,92,0,"103750"
503516,1,1,"2016-02-24 07:38:41",47,27,75,0,"104152"
503517,1,1,"2016-02-24 07:38:42",52,34,82,0,"104168"
503518,1,1,"2016-02-24 07:38:56",48,33,74,0,"104318"
503519,1,1,"2016-02-24 07:38:57",50,37,99,0,"104329"
503520,1,1,"2016-02-24 07:39:02",49,33,77,0,"104410"
503521,1,1,"2016-02-24 07:39:18",52,34,79,0,"104554"
503522,1,1,"2016-02-24 07:39:24",48,33,74,0,"104632"
503523,1,1,"2016-02-24 07:39:28",48,31,70,0,"104669"
503524,1,1,"2016-02-24 07:39:35",52,34,84,0,"104726"
503525,1,1,"2016-02-24 07:40:45",48,29,71,0,"105447"
503526,1,1,"2016-02-24 07:40:48",52,31,84,0,"105510"
503527,1,1,"2016-02-24 07:40:54",44,29,97,0,"105606"
503528,1,1,"2016-02-24 07:41:03",49,30,75,0,"105718"
503529,1,1,"2016-02-24 07:41:10",53,32,79,0,"105787"
503530,1,1,"2016-02-24 07:41:26",51,34,82,0,"105983"
503531,1,1,"2016-02-24 07:41:32",42,28,83,0,"106034"
503532,1,0,"2016-02-24 07:42:05",47,28,74,0,"106199"
503533,1,0,"2016-02-24 07:42:06",47,29,68,0,"106203"
503534,1,1,"2016-02-24 07:43:03",76,43,84,0,"106591"
503535,1,1,"2016-02-24 07:43:07",47,26,86,0,"106639"
503536,1,1,"2016-02-24 07:43:08",45,27,89,0,"106655"
503537,1,1,"2016-02-24 07:43:10",43,26,86,0,"106675"
503538,1,1,"2016-02-24 07:43:49",47,28,89,0,"107037"
503539,1,0,"2016-02-24 07:43:51",48,31,87,0,"107049"
503540,1,1,"2016-02-24 07:43:53",43,26,81,0,"107058"
503541,1,1,"2016-02-24 07:44:00",47,29,81,0,"107090"
503542,1,0,"2016-02-24 07:44:20",48,34,85,0,"107190"
503543,1,0,"2016-02-24 07:44:24",50,35,89,0,"107206"
503544,1,0,"2016-02-24 07:44:30",50,31,95,0,"107209"
503545,1,0,"2016-02-24 07:44:44",49,32,86,0,"107308"
503546,1,1,"2016-02-24 07:45:28",43,27,84,0,"107894"
503547,1,1,"2016-02-24 07:45:30",51,34,90,0,"107925"
503548,1,1,"2016-02-24 07:45:37",49,28,71,0,"108004"
503549,1,0,"2016-02-24 07:45:39",46,27,92,0,"108022"
503550,1,1,"2016-02-24 07:45:49",51,33,73,0,"108107"
503551,1,0,"2016-02-24 07:46:23",41,34,98,0,"108278"
503552,1,0,"2016-02-24 07:46:36",53,33,90,0,"108330"
503553,1,0,"2016-02-24 07:46:38",48,34,90,0,"108346"
503554,1,1,"2016-02-24 07:47:12",48,36,75,0,"108777"
503555,1,0,"2016-02-24 07:47:26",49,26,129,0,"108916"
503556,1,1,"2016-02-24 07:47:26",47,30,81,0,"108967"
503557,1,1,"2016-02-24 07:47:27",48,29,83,0,"108982"
503558,1,1,"2016-02-24 07:47:30",49,26,91,0,"109034"
503559,1,1,"2016-02-24 07:47:49",49,33,89,0,"109327"
503560,1,1,"2016-02-24 07:47:55",49,27,85,0,"109410"
503561,1,0,"2016-02-24 07:48:05",44,27,65,0,"109499"
503562,1,0,"2016-02-24 07:48:47",49,34,91,0,"109740"
503563,1,1,"2016-02-24 07:49:24",42,24,78,0,"110125"
503564,1,1,"2016-02-24 07:49:27",35,28,74,0,"110168"
503565,1,1,"2016-02-24 07:49:30",48,26,94,0,"110194"
503566,1,1,"2016-02-24 07:49:33",54,30,76,0,"110242"
503567,1,1,"2016-02-24 07:49:49",48,28,86,0,"110435"
503568,1,0,"2016-02-24 07:50:01",45,31,96,0,"110556"
503569,1,0,"2016-02-24 07:50:59",47,34,96,0,"110832"
503570,1,1,"2016-02-24 07:51:42",46,36,87,0,"111131"
503571,1,1,"2016-02-24 07:52:00",49,31,72,0,"111325"
503572,1,1,"2016-02-24 07:52:01",43,27,88,0,"111339"
503573,1,1,"2016-02-24 07:52:11",51,32,80,0,"111502"
503574,1,1,"2016-02-24 07:52:12",53,32,82,0,"111516"
503575,1,1,"2016-02-24 07:52:21",50,31,90,0,"111591"
503576,1,0,"2016-02-24 07:52:24",49,33,89,0,"111602"
503577,1,1,"2016-02-24 07:52:32",49,29,83,0,"111643"
503578,1,1,"2016-02-24 07:52:37",48,31,82,0,"111673"
503579,1,0,"2016-02-24 07:52:47",47,35,86,0,"111695"
503580,1,0,"2016-02-24 07:53:17",50,32,85,0,"111906"
503581,1,1,"2016-02-24 07:53:38",50,31,80,0,"112336"
503582,1,1,"2016-02-24 07:54:00",52,29,89,0,"112643"
503583,1,0,"2016-02-24 07:55:00",48,34,86,0,"113081"
503584,1,1,"2016-02-24 07:55:47",49,32,80,0,"113704"
503585,1,0,"2016-02-24 07:56:11",47,33,82,0,"113990"
503586,1,1,"2016-02-24 07:56:24",47,29,86,0,"114140"
503587,1,1,"2016-02-24 07:56:27",48,29,86,0,"114182"
503588,1,1,"2016-02-24 07:56:28",51,28,83,0,"114194"
503589,1,1,"2016-02-24 07:56:29",49,32,85,0,"114205"
503590,1,1,"2016-02-24 07:56:31",44,28,82,0,"114218"
503591,1,0,"2016-02-24 07:56:37",52,32,93,0,"114264"
503592,1,1,"2016-02-24 07:56:46",50,28,77,0,"114325"
503593,1,1,"2016-02-24 07:56:48",52,31,75,0,"114333"
503594,1,1,"2016-02-24 07:56:54",51,31,83,0,"114359"
503595,1,1,"2016-02-24 07:57:54",49,29,94,0,"114909"
503596,1,1,"2016-02-24 07:57:55",60,53,85,0,"114921"
503597,1,1,"2016-02-24 07:57:58",50,34,76,0,"114969"
503598,1,1,"2016-02-24 07:58:02",49,31,86,0,"115025"
503599,1,1,"2016-02-24 07:58:13",48,33,77,0,"115142"
503600,1,1,"2016-02-24 07:58:13",52,31,55,0,"115152"
503601,1,0,"2016-02-24 07:58:19",52,32,97,0,"115232"
503602,1,1,"2016-02-24 07:58:23",48,31,90,0,"115285"
503603,1,1,"2016-02-24 07:58:27",49,27,80,0,"115354"
503604,1,0,"2016-02-24 07:58:30",60,34,93,0,"115389"
503605,1,1,"2016-02-24 07:58:35",63,39,82,0,"115461"
503606,1,0,"2016-02-24 07:59:09",51,32,89,0,"115713"
503607,1,1,"2016-02-24 07:59:24",52,28,80,0,"115786"
503608,1,0,"2016-02-24 07:59:58",47,30,89,0,"116095"
503609,1,1,"2016-02-24 08:00:28",49,29,91,0,"116481"
503610,1,1,"2016-02-24 08:00:31",47,27,90,0,"116523"
503611,1,1,"2016-02-24 08:00:31",51,29,87,0,"116526"
503612,1,1,"2016-02-24 08:00:33",51,28,77,0,"116552"
503613,1,1,"2016-02-24 08:00:34",48,28,75,0,"116563"
503614,1,0,"2016-02-24 08:00:41",44,30,93,0,"116624"
503615,1,1,"2016-02-24 08:01:06",51,31,80,0,"116844"
503616,1,1,"2016-02-24 08:02:05",46,26,76,0,"117354"
503617,1,1,"2016-02-24 08:02:09",49,33,85,0,"117399"
503618,1,1,"2016-02-24 08:02:17",43,27,80,0,"117486"
503619,1,1,"2016-02-24 08:02:19",50,26,84,0,"117510"
503620,1,1,"2016-02-24 08:02:20",46,25,79,0,"117519"
503621,1,1,"2016-02-24 08:02:24",54,50,64,0,"117573"
503622,1,0,"2016-02-24 08:02:26",47,28,75,0,"117598"
503623,1,0,"2016-02-24 08:02:47",50,31,90,0,"117826"
503624,1,1,"2016-02-24 08:02:49",51,36,79,0,"117840"
503625,1,0,"2016-02-24 08:02:56",50,29,95,0,"117876"
503626,1,0,"2016-02-24 08:02:57",43,26,87,0,"117892"
503627,1,1,"2016-02-24 08:04:17",50,31,86,0,"118376"
503628,1,1,"2016-02-24 08:04:23",47,30,78,0,"118447"
503629,1,1,"2016-02-24 08:04:25",32,30,87,0,"118459"
503630,1,1,"2016-02-24 08:04:28",48,28,89,0,"118503"
503631,1,1,"2016-02-24 08:04:30",54,32,82,0,"118522"
503632,1,1,"2016-02-24 08:04:41",52,32,80,0,"118607"
503633,1,1,"2016-02-24 08:04:52",49,26,82,0,"118696"
503634,1,0,"2016-02-24 08:05:04",53,33,82,0,"118816"
503635,1,0,"2016-02-24 08:05:06",52,37,86,0,"118836"
503636,1,1,"2016-02-24 08:05:11",47,30,76,0,"118898"
503637,1,1,"2016-02-24 08:05:26",50,32,78,0,"118970"
503638,1,0,"2016-02-24 08:05:42",54,32,84,0,"119018"
