DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
1304662,1,0,"2017-02-07 00:40:01",30,8,87,0,"4652502"
1304663,1,0,"2017-02-07 01:34:15",40,12,107,0,"4657350"
1304664,1,1,"2017-02-07 04:50:33",46,11,80,0,"4666006"
1304665,1,1,"2017-02-07 05:17:06",42,28,123,0,"4668524"
1304666,1,0,"2017-02-07 05:25:02",33,8,94,0,"4669712"
1304667,1,1,"2017-02-07 05:29:46",39,21,197,0,"4670304"
1304668,1,0,"2017-02-07 05:30:49",44,11,74,0,"4670431"
1304669,1,1,"2017-02-07 05:34:07",47,13,229,0,"4671192"
1304670,1,1,"2017-02-07 05:40:31",42,25,127,0,"4672492"
1304671,1,1,"2017-02-07 05:49:48",37,29,108,0,"4674616"
1304672,1,1,"2017-02-07 05:50:25",30,15,88,0,"4674821"
1304673,1,1,"2017-02-07 05:51:25",29,11,201,0,"4675120"
1304674,1,0,"2017-02-07 06:09:42",47,14,104,0,"4680360"
1304675,1,1,"2017-02-07 06:09:46",43,17,77,0,"4680374"
1304676,1,0,"2017-02-07 06:15:21",46,12,96,0,"4682567"
1304677,1,1,"2017-02-07 06:17:47",45,32,113,0,"4683360"
1304678,1,0,"2017-02-07 06:18:44",44,11,111,0,"4683782"
1304679,1,1,"2017-02-07 06:18:48",51,27,93,0,"4683848"
1304680,1,1,"2017-02-07 06:20:40",34,15,82,0,"4684666"
1304681,1,1,"2017-02-07 06:27:33",36,13,96,0,"4687188"
1304682,1,0,"2017-02-07 06:28:01",46,19,92,0,"4687242"
1304683,1,0,"2017-02-07 06:29:23",50,16,101,0,"4687897"
1304684,1,0,"2017-02-07 06:29:59",43,5,89,0,"4687972"
1304685,1,1,"2017-02-07 06:30:15",32,8,87,0,"4688161"
1304686,1,1,"2017-02-07 06:33:36",46,27,106,0,"4689913"
1304687,1,0,"2017-02-07 06:35:05",34,20,96,0,"4690299"
1304688,1,0,"2017-02-07 06:37:13",45,12,100,0,"4691663"
1304689,1,1,"2017-02-07 06:37:34",35,18,93,0,"4691836"
1304690,1,0,"2017-02-07 06:37:40",52,25,90,0,"4691879"
1304691,1,1,"2017-02-07 06:38:36",37,21,185,0,"4692175"
1304692,1,0,"2017-02-07 06:39:14",42,20,87,0,"4692570"
1304693,1,0,"2017-02-07 06:39:52",42,22,110,0,"4692636"
1304694,1,1,"2017-02-07 06:42:05",49,29,103,0,"4693596"
1304695,1,1,"2017-02-07 06:43:35",53,34,102,0,"4693938"
1304696,1,0,"2017-02-07 06:44:59",55,29,101,0,"4694432"
1304697,1,1,"2017-02-07 06:45:10",34,13,207,0,"4694562"
1304698,1,0,"2017-02-07 06:45:13",56,28,97,0,"4694593"
1304699,1,1,"2017-02-07 06:46:20",51,28,189,0,"4695148"
1304700,1,0,"2017-02-07 06:46:33",53,24,99,0,"4695179"
1304701,1,0,"2017-02-07 06:48:36",49,24,92,0,"4696044"
1304702,1,0,"2017-02-07 06:49:15",58,29,104,0,"4696344"
1304703,1,1,"2017-02-07 06:50:16",56,36,196,0,"4696621"
1304704,1,1,"2017-02-07 06:50:25",53,30,86,0,"4696759"
1304705,1,1,"2017-02-07 06:51:09",49,27,181,0,"4697086"
1304706,1,0,"2017-02-07 06:51:45",51,25,98,0,"4697133"
1304707,1,1,"2017-02-07 06:51:50",29,24,184,0,"4697169"
1304708,1,1,"2017-02-07 06:52:20",49,38,197,0,"4697521"
1304709,1,0,"2017-02-07 06:53:08",53,30,94,0,"4697714"
1304710,1,1,"2017-02-07 06:53:36",59,29,83,0,"4697892"
1304711,1,0,"2017-02-07 06:53:42",51,26,99,0,"4697945"
1304712,1,1,"2017-02-07 06:56:59",56,30,104,0,"4699122"
1304713,1,1,"2017-02-07 06:57:01",58,27,193,0,"4699137"
1304714,1,1,"2017-02-07 06:57:16",60,38,61,0,"4699290"
1304715,1,1,"2017-02-07 06:57:31",55,32,95,0,"4699340"
1304716,1,1,"2017-02-07 06:57:32",55,28,85,0,"4699347"
1304717,1,1,"2017-02-07 06:57:44",49,29,189,0,"4699404"
1304718,1,1,"2017-02-07 06:58:30",52,26,180,0,"4699581"
1304719,1,1,"2017-02-07 06:58:47",52,29,179,0,"4699844"
1304720,1,1,"2017-02-07 06:58:48",51,35,100,0,"4699872"
1304721,1,1,"2017-02-07 06:59:15",49,26,191,0,"4700013"
1304722,1,1,"2017-02-07 07:00:16",54,31,194,0,"4700306"
1304723,1,1,"2017-02-07 07:00:18",53,30,185,0,"4700333"
1304724,1,1,"2017-02-07 07:00:29",53,29,184,0,"4700480"
1304725,1,1,"2017-02-07 07:01:53",53,36,100,0,"4700834"
1304726,1,1,"2017-02-07 07:02:13",52,29,103,0,"4701047"
1304727,1,0,"2017-02-07 07:02:54",33,23,108,0,"4701149"
1304728,1,1,"2017-02-07 07:03:31",57,33,108,0,"4701292"
1304729,1,1,"2017-02-07 07:03:34",53,38,194,0,"4701325"
1304730,1,1,"2017-02-07 07:03:37",67,37,102,0,"4701385"
1304731,1,0,"2017-02-07 07:04:16",53,37,95,0,"4701745"
1304732,1,1,"2017-02-07 07:04:36",29,15,188,0,"4701799"
1304733,1,0,"2017-02-07 07:04:55",52,30,95,0,"4701871"
1304734,1,1,"2017-02-07 07:05:17",53,27,77,0,"4702112"
1304735,1,1,"2017-02-07 07:06:03",53,26,93,0,"4702405"
1304736,1,1,"2017-02-07 07:06:08",53,29,92,0,"4702416"
1304737,1,1,"2017-02-07 07:06:29",67,38,196,0,"4702455"
1304738,1,0,"2017-02-07 07:06:38",54,39,96,0,"4702476"
1304739,1,0,"2017-02-07 07:07:04",53,35,101,0,"4702718"
1304740,1,1,"2017-02-07 07:07:27",56,38,197,0,"4702874"
1304741,1,1,"2017-02-07 07:07:28",55,37,98,0,"4702878"
1304742,1,1,"2017-02-07 07:07:34",56,32,97,0,"4702884"
1304743,1,0,"2017-02-07 07:08:17",53,33,93,0,"4702985"
1304744,1,0,"2017-02-07 07:08:24",39,30,87,0,"4702998"
1304745,1,1,"2017-02-07 07:08:28",59,29,76,0,"4703036"
1304746,1,1,"2017-02-07 07:08:30",56,29,98,0,"4703080"
1304747,1,1,"2017-02-07 07:08:37",51,27,192,0,"4703198"
1304748,1,0,"2017-02-07 07:10:06",50,37,99,0,"4703729"
1304749,1,0,"2017-02-07 07:11:10",58,34,105,0,"4704355"
1304750,1,1,"2017-02-07 07:12:06",58,30,96,0,"4704763"
1304751,1,1,"2017-02-07 07:12:44",53,29,92,0,"4705038"
1304752,1,1,"2017-02-07 07:12:47",54,30,94,0,"4705045"
1304753,1,0,"2017-02-07 07:13:13",58,40,96,0,"4705112"
1304754,1,0,"2017-02-07 07:13:15",54,28,93,0,"4705123"
1304755,1,0,"2017-02-07 07:13:16",53,31,59,0,"4705130"
1304756,1,0,"2017-02-07 07:13:30",57,32,95,0,"4705207"
1304757,1,1,"2017-02-07 07:13:37",55,31,185,0,"4705342"
1304758,1,1,"2017-02-07 07:13:38",51,23,93,0,"4705401"
1304759,1,0,"2017-02-07 07:14:26",49,29,97,0,"4705745"
1304760,1,0,"2017-02-07 07:14:27",52,25,98,0,"4705750"
1304761,1,0,"2017-02-07 07:15:08",59,30,105,0,"4705846"
1304762,1,1,"2017-02-07 07:15:15",53,30,189,0,"4705954"
1304763,1,1,"2017-02-07 07:15:16",51,29,101,0,"4706002"
1304764,1,1,"2017-02-07 07:16:04",50,31,185,0,"4706406"
1304765,1,0,"2017-02-07 07:16:11",56,32,98,0,"4706413"
1304766,1,0,"2017-02-07 07:16:32",49,26,99,0,"4706470"
1304767,1,1,"2017-02-07 07:17:42",54,31,101,0,"4706969"
1304768,1,0,"2017-02-07 07:18:07",58,40,107,0,"4707006"
1304769,1,1,"2017-02-07 07:18:37",51,34,194,0,"4707214"
1304770,1,1,"2017-02-07 07:18:39",51,32,184,0,"4707263"
1304771,1,1,"2017-02-07 07:18:45",53,34,104,0,"4707339"
1304772,1,1,"2017-02-07 07:18:49",50,27,101,0,"4707390"
1304773,1,1,"2017-02-07 07:19:13",52,33,191,0,"4707598"
1304774,1,0,"2017-02-07 07:19:26",55,27,105,0,"4707661"
1304775,1,0,"2017-02-07 07:19:48",55,35,101,0,"4707697"
1304776,1,0,"2017-02-07 07:19:58",57,32,114,0,"4707705"
1304777,1,1,"2017-02-07 07:20:10",49,33,100,0,"4707780"
1304778,1,1,"2017-02-07 07:20:22",49,29,84,0,"4708006"
1304779,1,0,"2017-02-07 07:20:35",51,28,99,0,"4708210"
1304780,1,1,"2017-02-07 07:20:42",56,33,189,0,"4708258"
1304781,1,1,"2017-02-07 07:21:44",56,38,111,0,"4708429"
1304782,1,0,"2017-02-07 07:21:54",53,29,96,0,"4708554"
1304783,1,0,"2017-02-07 07:21:55",55,31,88,0,"4708570"
1304784,1,1,"2017-02-07 07:21:56",56,35,53,0,"4708601"
1304785,1,1,"2017-02-07 07:22:13",55,34,85,0,"4708750"
1304786,1,0,"2017-02-07 07:22:53",51,34,98,0,"4708878"
1304787,1,0,"2017-02-07 07:23:13",54,31,88,0,"4708931"
1304788,1,1,"2017-02-07 07:23:25",54,36,114,0,"4708970"
1304789,1,1,"2017-02-07 07:23:44",53,38,206,0,"4709188"
1304790,1,1,"2017-02-07 07:25:17",55,32,188,0,"4709803"
1304791,1,1,"2017-02-07 07:25:46",54,35,105,0,"4710135"
1304792,1,0,"2017-02-07 07:26:38",52,26,106,0,"4710351"
1304793,1,0,"2017-02-07 07:26:41",52,28,107,0,"4710364"
1304794,1,1,"2017-02-07 07:26:49",56,34,98,0,"4710441"
1304795,1,1,"2017-02-07 07:26:54",47,36,197,0,"4710509"
1304796,1,0,"2017-02-07 07:27:48",55,33,91,0,"4710936"
1304797,1,1,"2017-02-07 07:28:38",51,30,106,0,"4711321"
1304798,1,1,"2017-02-07 07:30:16",56,33,112,0,"4712002"
1304799,1,1,"2017-02-07 07:30:23",55,28,106,0,"4712046"
1304800,1,1,"2017-02-07 07:30:59",49,30,88,0,"4712326"
1304801,1,1,"2017-02-07 07:31:00",59,28,98,0,"4712361"
1304802,1,1,"2017-02-07 07:31:07",53,33,91,0,"4712488"
1304803,1,1,"2017-02-07 07:31:08",48,31,197,0,"4712502"
1304804,1,1,"2017-02-07 07:31:17",63,31,207,0,"4712609"
1304805,1,1,"2017-02-07 07:31:38",51,28,105,0,"4712840"
1304806,1,0,"2017-02-07 07:32:04",57,36,110,0,"4712932"
1304807,1,0,"2017-02-07 07:32:41",62,36,105,0,"4713150"
1304808,1,1,"2017-02-07 07:32:52",52,29,187,0,"4713275"
