DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
1123812,1,0,"2016-11-22 00:07:09",46,17,120,0,"1925976"
1123813,1,1,"2016-11-22 00:07:46",49,37,212,0,"1926031"
1123814,1,0,"2016-11-22 00:08:45",44,19,91,0,"1926165"
1123815,1,0,"2016-11-22 00:12:30",37,37,95,0,"1926700"
1123816,1,0,"2016-11-22 00:14:05",47,24,103,0,"1927159"
1123817,1,1,"2016-11-22 00:14:35",50,13,108,0,"1927214"
1123818,1,0,"2016-11-22 00:21:41",48,24,97,0,"1928261"
1123819,1,0,"2016-11-22 00:23:51",68,32,89,0,"1928516"
1123820,1,0,"2016-11-22 00:27:23",45,12,60,0,"1929048"
1123821,1,0,"2016-11-22 00:33:33",64,24,55,0,"1929932"
1123822,1,1,"2016-11-22 00:56:22",54,23,196,0,"1932483"
1123823,1,0,"2016-11-22 01:02:29",45,23,91,0,"1933077"
1123824,1,0,"2016-11-22 01:03:03",45,24,88,0,"1933134"
1123825,1,0,"2016-11-22 01:22:46",44,25,102,0,"1934632"
1123826,1,0,"2016-11-22 01:37:45",52,24,100,0,"1935822"
1123827,1,0,"2016-11-22 01:40:26",39,15,69,0,"1936054"
1123828,1,0,"2016-11-22 01:48:22",48,25,107,0,"1936725"
1123829,1,0,"2016-11-22 02:48:05",52,19,87,0,"1939690"
1123830,1,1,"2016-11-22 03:12:32",51,20,192,0,"1940953"
1123831,1,1,"2016-11-22 04:34:54",55,26,184,0,"1943953"
1123832,1,1,"2016-11-22 04:50:23",56,25,180,0,"1944983"
1123833,1,0,"2016-11-22 04:53:39",46,18,104,0,"1945241"
1123834,1,0,"2016-11-22 05:05:31",34,19,91,0,"1946400"
1123835,1,0,"2016-11-22 05:05:36",41,16,91,0,"1946452"
1123836,1,0,"2016-11-22 05:06:12",35,22,94,0,"1946524"
1123837,1,0,"2016-11-22 05:06:13",37,11,98,0,"1946532"
1123838,1,0,"2016-11-22 05:14:40",40,16,90,0,"1947317"
1123839,1,1,"2016-11-22 05:17:45",53,22,195,0,"1947968"
1123840,1,1,"2016-11-22 05:17:54",34,15,182,0,"1948013"
1123841,1,0,"2016-11-22 05:26:25",34,24,100,0,"1948978"
1123842,1,0,"2016-11-22 05:26:25",43,21,90,0,"1948980"
1123843,1,0,"2016-11-22 05:30:26",59,14,93,0,"1949699"
1123844,1,1,"2016-11-22 05:36:38",45,22,183,0,"1950688"
1123845,1,0,"2016-11-22 05:38:02",49,25,102,0,"1951016"
1123846,1,0,"2016-11-22 05:40:05",42,20,91,0,"1951328"
