DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
1749030,1,0,"2017-08-12 00:02:57",42,24,86,0,"1679780"
1749031,1,0,"2017-08-12 00:03:37",51,25,93,0,"1679999"
1749032,1,1,"2017-08-12 00:05:59",51,15,105,0,"1680870"
1749033,1,1,"2017-08-12 00:10:55",55,27,95,0,"1683304"
1749034,1,0,"2017-08-12 00:11:01",41,15,99,0,"1683333"
1749035,1,1,"2017-08-12 00:16:29",32,19,185,0,"1685532"
1749036,1,1,"2017-08-12 00:17:12",57,20,100,0,"1685736"
1749037,1,1,"2017-08-12 00:21:57",58,21,108,0,"1687207"
1749038,1,1,"2017-08-12 00:23:09",50,29,113,0,"1687538"
1749039,1,0,"2017-08-12 00:30:58",51,20,76,0,"1690646"
1749040,1,0,"2017-08-12 00:47:02",45,23,92,0,"1695626"
1749041,1,0,"2017-08-12 00:47:28",48,29,86,0,"1695733"
1749042,1,0,"2017-08-12 00:52:08",48,24,109,0,"1697009"
1749043,1,1,"2017-08-12 01:06:06",56,24,95,0,"1701628"
1749044,1,1,"2017-08-12 01:09:50",48,22,188,0,"1702705"
1749045,1,0,"2017-08-12 01:11:53",47,18,83,0,"1703094"
1749046,1,0,"2017-08-12 01:13:10",47,26,98,0,"1703467"
1749047,1,0,"2017-08-12 01:16:23",49,23,92,0,"1704513"
1749048,1,1,"2017-08-12 01:24:42",58,25,193,0,"1707177"
1749049,1,1,"2017-08-12 01:25:12",51,23,98,0,"1707284"
1749050,1,0,"2017-08-12 01:38:09",32,21,117,0,"1711036"
1749051,1,1,"2017-08-12 01:56:42",54,26,99,0,"1715191"
1749052,1,0,"2017-08-12 02:05:29",42,21,100,0,"1717309"
1749053,1,1,"2017-08-12 02:16:55",62,28,187,0,"1719571"
1749054,1,1,"2017-08-12 02:18:26",50,26,202,0,"1720052"
1749055,1,1,"2017-08-12 02:49:17",57,30,213,0,"1726000"
1749056,1,0,"2017-08-12 03:55:48",50,22,92,0,"1737503"
1749057,1,1,"2017-08-12 04:17:12",54,24,108,0,"1740450"
1749058,1,0,"2017-08-12 04:17:41",47,24,96,0,"1740665"
1749059,1,0,"2017-08-12 04:18:13",41,23,90,0,"1740700"
1749060,1,0,"2017-08-12 04:26:34",48,24,104,0,"1741750"
1749061,1,0,"2017-08-12 04:47:44",29,26,118,0,"1744847"
1749062,1,1,"2017-08-12 05:23:50",55,23,109,0,"1750077"
1749063,1,0,"2017-08-12 05:23:51",42,28,98,0,"1750073"
1749064,1,1,"2017-08-12 05:29:25",53,19,181,0,"1750924"
1749065,1,0,"2017-08-12 05:41:40",42,21,87,0,"1752877"
1749066,1,0,"2017-08-12 05:41:41",37,22,82,0,"1752882"
1749067,1,1,"2017-08-12 05:42:34",39,25,187,0,"1752997"
1749068,1,0,"2017-08-12 05:46:14",43,24,96,0,"1753760"
1749069,1,0,"2017-08-12 05:49:33",58,25,89,0,"1754587"
1749070,1,1,"2017-08-12 05:50:43",50,27,115,0,"1754801"
1749071,1,0,"2017-08-12 05:55:47",53,16,91,0,"1755962"
1749072,1,0,"2017-08-12 06:00:45",48,22,97,0,"1756726"
1749073,1,0,"2017-08-12 06:03:26",30,22,89,0,"1757065"
1749074,1,0,"2017-08-12 06:03:34",46,23,96,0,"1757072"
1749075,1,1,"2017-08-12 06:10:53",48,28,194,0,"1758599"
1749076,1,0,"2017-08-12 06:17:29",38,21,101,0,"1759955"
1749077,1,1,"2017-08-12 06:18:12",41,20,186,0,"1760027"
1749078,1,0,"2017-08-12 06:22:40",32,12,94,0,"1761208"
1749079,1,0,"2017-08-12 06:26:32",46,27,101,0,"1761840"
1749080,1,0,"2017-08-12 06:26:33",46,22,103,0,"1761846"
1749081,1,1,"2017-08-12 06:28:23",70,30,191,0,"1762259"
1749082,1,1,"2017-08-12 06:29:20",53,26,197,0,"1762430"
1749083,1,0,"2017-08-12 06:34:39",54,29,101,0,"1763393"
1749084,1,0,"2017-08-12 06:35:55",58,28,100,0,"1763653"
1749085,1,0,"2017-08-12 06:38:55",56,31,104,0,"1764361"
1749086,1,0,"2017-08-12 06:39:20",54,28,96,0,"1764373"
1749087,1,0,"2017-08-12 06:42:52",55,32,104,0,"1764830"
1749088,1,1,"2017-08-12 06:50:10",57,26,184,0,"1765764"
1749089,1,0,"2017-08-12 06:50:23",32,24,80,0,"1765818"
1749090,1,1,"2017-08-12 07:00:26",52,26,181,0,"1767151"
1749091,1,1,"2017-08-12 07:05:42",57,29,191,0,"1768087"
1749092,1,0,"2017-08-12 07:06:04",56,30,92,0,"1768091"
1749093,1,0,"2017-08-12 07:07:21",55,31,115,0,"1768255"
1749094,1,0,"2017-08-12 07:12:50",49,27,97,0,"1768984"
