DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
1719631,1,1,"2017-08-01 00:06:57",39,24,180,0,"309146"
1719632,1,0,"2017-08-01 00:07:41",43,24,100,0,"309175"
1719633,1,0,"2017-08-01 00:07:42",46,20,99,0,"309178"
1719634,1,0,"2017-08-01 00:07:44",42,16,96,0,"309185"
1719635,1,1,"2017-08-01 00:11:22",33,25,201,0,"309633"
1719636,1,0,"2017-08-01 00:12:49",50,21,89,0,"309896"
1719637,1,0,"2017-08-01 00:22:19",46,20,105,0,"311694"
1719638,1,0,"2017-08-01 00:24:56",39,21,97,0,"312303"
1719639,1,0,"2017-08-01 00:26:40",44,22,92,0,"312617"
1719640,1,0,"2017-08-01 00:30:19",50,16,103,0,"313222"
1719641,1,0,"2017-08-01 00:33:05",44,24,91,0,"313899"
1719642,1,1,"2017-08-01 00:34:35",58,27,123,0,"314057"
1719643,1,0,"2017-08-01 00:36:05",53,20,106,0,"314306"
1719644,1,1,"2017-08-01 00:43:12",53,25,114,0,"315268"
1719645,1,0,"2017-08-01 00:58:41",47,24,92,0,"316920"
1719646,1,1,"2017-08-01 01:10:41",63,38,209,0,"318265"
1719647,1,0,"2017-08-01 01:45:30",55,26,96,0,"320783"
1719648,1,1,"2017-08-01 01:49:08",49,22,198,0,"321012"
1719649,1,1,"2017-08-01 01:49:09",49,27,194,0,"321014"
1719650,1,0,"2017-08-01 01:52:31",64,42,98,0,"321276"
1719651,1,0,"2017-08-01 02:26:38",32,20,86,0,"323146"
1719652,1,0,"2017-08-01 02:26:39",53,19,76,0,"323152"
1719653,1,0,"2017-08-01 02:32:01",56,27,86,0,"323404"
1719654,1,1,"2017-08-01 03:09:53",45,19,192,0,"324950"
1719655,1,1,"2017-08-01 03:09:54",56,27,101,0,"324956"
1719656,1,1,"2017-08-01 04:05:40",38,16,181,0,"326982"
1719657,1,0,"2017-08-01 04:24:50",50,28,85,0,"327721"
1719658,1,1,"2017-08-01 04:57:58",51,24,115,0,"329831"
1719659,1,0,"2017-08-01 05:10:57",44,22,98,0,"331044"
1719660,1,1,"2017-08-01 05:13:33",41,25,90,0,"331494"
1719661,1,1,"2017-08-01 05:16:26",51,25,185,0,"331915"
1719662,1,1,"2017-08-01 05:23:09",52,25,113,0,"332974"
1719663,1,0,"2017-08-01 05:30:16",48,26,103,0,"334090"
1719664,1,0,"2017-08-01 05:30:17",45,21,83,0,"334095"
1719665,1,1,"2017-08-01 05:36:57",31,10,93,0,"335532"
1719666,1,1,"2017-08-01 05:37:18",58,24,103,0,"335782"
1719667,1,0,"2017-08-01 05:38:13",56,16,103,0,"336003"
1719668,1,1,"2017-08-01 05:44:00",57,26,98,0,"337069"
1719669,1,1,"2017-08-01 05:46:07",49,23,112,0,"337470"
1719670,1,1,"2017-08-01 05:47:24",35,16,179,0,"337621"
1719671,1,0,"2017-08-01 05:49:32",52,26,101,0,"338345"
1719672,1,0,"2017-08-01 05:52:09",30,15,100,0,"339022"
1719673,1,1,"2017-08-01 05:54:26",30,29,203,0,"339512"
1719674,1,1,"2017-08-01 05:54:54",47,24,100,0,"339705"
1719675,1,0,"2017-08-01 05:55:05",30,15,128,0,"339746"
1719676,1,0,"2017-08-01 05:55:27",45,23,95,0,"339771"
1719677,1,0,"2017-08-01 05:56:50",43,23,95,0,"340126"
1719678,1,0,"2017-08-01 06:00:31",37,18,85,0,"341145"
1719679,1,1,"2017-08-01 06:01:35",48,24,94,0,"341405"
1719680,1,0,"2017-08-01 06:02:34",49,26,110,0,"341657"
1719681,1,0,"2017-08-01 06:02:44",46,16,96,0,"341664"
1719682,1,1,"2017-08-01 06:02:58",51,26,195,0,"341921"
1719683,1,0,"2017-08-01 06:03:26",40,22,113,0,"342125"
1719684,1,1,"2017-08-01 06:05:09",48,23,93,0,"342715"
1719685,1,1,"2017-08-01 06:06:26",47,22,89,0,"343222"
1719686,1,0,"2017-08-01 06:09:18",43,19,105,0,"343986"
1719687,1,1,"2017-08-01 06:11:42",47,26,131,0,"344754"
1719688,1,1,"2017-08-01 06:12:52",57,27,96,0,"344928"
1719689,1,1,"2017-08-01 06:15:46",61,21,188,0,"346227"
1719690,1,1,"2017-08-01 06:16:02",54,28,115,0,"346288"
1719691,1,1,"2017-08-01 06:16:26",48,19,106,0,"346674"
1719692,1,1,"2017-08-01 06:17:03",33,33,182,0,"346914"
1719693,1,1,"2017-08-01 06:17:09",48,19,94,0,"346979"
1719694,1,1,"2017-08-01 06:17:42",51,23,108,0,"347071"
1719695,1,1,"2017-08-01 06:17:43",51,24,110,0,"347076"
1719696,1,0,"2017-08-01 06:18:25",47,22,83,0,"347536"
1719697,1,0,"2017-08-01 06:18:32",32,10,105,0,"347563"
1719698,1,0,"2017-08-01 06:18:33",31,22,97,0,"347568"
1719699,1,0,"2017-08-01 06:18:34",43,17,71,0,"347575"
1719700,1,0,"2017-08-01 06:18:40",40,24,86,0,"347613"
1719701,1,1,"2017-08-01 06:19:35",46,21,97,0,"347904"
1719702,1,0,"2017-08-01 06:20:50",36,23,91,0,"348301"
1719703,1,0,"2017-08-01 06:22:32",43,17,100,0,"349097"
1719704,1,0,"2017-08-01 06:24:19",34,18,105,0,"349633"
1719705,1,1,"2017-08-01 06:25:02",42,17,188,0,"350051"
1719706,1,0,"2017-08-01 06:25:28",36,9,64,0,"350158"
1719707,1,1,"2017-08-01 06:26:14",33,28,102,0,"350374"
1719708,1,1,"2017-08-01 06:26:20",40,16,191,0,"350455"
1719709,1,1,"2017-08-01 06:26:21",53,25,96,0,"350495"
1719710,1,1,"2017-08-01 06:27:03",41,24,188,0,"350757"
1719711,1,1,"2017-08-01 06:28:25",47,20,106,0,"351411"
1719712,1,1,"2017-08-01 06:28:44",49,24,195,0,"351439"
1719713,1,0,"2017-08-01 06:31:13",47,23,105,0,"352238"
1719714,1,0,"2017-08-01 06:33:47",59,31,97,0,"353288"
1719715,1,1,"2017-08-01 06:34:27",59,31,62,0,"353437"
1719716,1,1,"2017-08-01 06:36:47",54,27,116,0,"354570"
1719717,1,1,"2017-08-01 06:37:57",53,30,184,0,"354835"
1719718,1,1,"2017-08-01 06:38:10",56,26,110,0,"355023"
1719719,1,0,"2017-08-01 06:39:18",53,34,93,0,"355321"
1719720,1,1,"2017-08-01 06:39:41",57,27,103,0,"355483"
1719721,1,1,"2017-08-01 06:39:48",52,26,183,0,"355560"
1719722,1,0,"2017-08-01 06:40:34",69,37,95,0,"355753"
1719723,1,0,"2017-08-01 06:41:20",55,29,97,0,"356098"
1719724,1,1,"2017-08-01 06:41:49",55,29,121,0,"356329"
1719725,1,0,"2017-08-01 06:42:40",31,37,100,0,"356392"
1719726,1,0,"2017-08-01 06:43:03",54,27,102,0,"356590"
1719727,1,1,"2017-08-01 06:43:07",56,30,188,0,"356624"
1719728,1,1,"2017-08-01 06:43:14",47,26,193,0,"356698"
1719729,1,1,"2017-08-01 06:44:33",57,35,106,0,"356921"
1719730,1,1,"2017-08-01 06:44:43",57,30,93,0,"357120"
1719731,1,1,"2017-08-01 06:44:58",61,33,107,0,"357283"
1719732,1,0,"2017-08-01 06:45:14",46,32,102,0,"357356"
1719733,1,1,"2017-08-01 06:46:21",55,29,188,0,"357585"
1719734,1,1,"2017-08-01 06:47:55",54,31,117,0,"357959"
1719735,1,1,"2017-08-01 06:47:56",53,26,107,0,"358005"
1719736,1,1,"2017-08-01 06:47:58",57,26,120,0,"358060"
1719737,1,1,"2017-08-01 06:48:05",53,29,107,0,"358193"
1719738,1,1,"2017-08-01 06:49:49",57,32,108,0,"358707"
1719739,1,0,"2017-08-01 06:50:18",56,33,91,0,"358857"
1719740,1,1,"2017-08-01 06:50:23",56,33,186,0,"358887"
1719741,1,1,"2017-08-01 06:51:44",58,38,108,0,"359267"
1719742,1,1,"2017-08-01 06:51:50",54,35,181,0,"359280"
1719743,1,1,"2017-08-01 06:52:09",56,33,124,0,"359330"
1719744,1,0,"2017-08-01 06:54:23",53,30,102,0,"360027"
1719745,1,1,"2017-08-01 06:56:28",57,32,115,0,"360817"
1719746,1,1,"2017-08-01 06:57:57",50,30,122,0,"361272"
1719747,1,1,"2017-08-01 06:58:13",54,35,189,0,"361510"
1719748,1,1,"2017-08-01 06:59:32",55,34,180,0,"361780"
1719749,1,0,"2017-08-01 07:00:10",53,35,98,0,"362250"
1719750,1,1,"2017-08-01 07:01:13",52,31,107,0,"362419"
1719751,1,1,"2017-08-01 07:01:20",46,31,195,0,"362524"
1719752,1,1,"2017-08-01 07:01:21",56,31,114,0,"362571"
1719753,1,1,"2017-08-01 07:01:24",51,27,183,0,"362616"
