88,1,0,"2015-05-28 22:14:05",45,23,93,0,"1384"
89,1,0,"2015-05-28 22:14:22",51,20,76,0,"1631"
90,1,0,"2015-05-28 22:14:24",62,31,94,0,"1706"
91,1,0,"2015-05-28 22:15:16",43,19,53,0,"2569"
92,1,0,"2015-05-28 22:15:18",39,22,104,0,"2581"
93,1,0,"2015-05-28 22:16:11",42,18,89,0,"2825"
94,1,0,"2015-05-28 22:16:15",35,17,85,0,"2864"
95,1,0,"2015-05-28 22:18:07",43,19,85,0,"4561"
96,1,1,"2015-05-28 22:18:26",42,18,81,0,"4857"
97,1,0,"2015-05-28 22:20:23",45,21,94,0,"5753"
98,1,1,"2015-05-28 22:21:31",63,8,64,0,"6851"
99,1,0,"2015-05-28 22:21:54",45,25,92,0,"7017"
100,1,0,"2015-05-28 22:22:14",41,13,89,0,"7037"
101,1,0,"2015-05-28 22:24:19",36,18,84,0,"197"
102,1,0,"2015-05-28 22:27:54",40,20,95,0,"2891"
103,1,0,"2015-05-28 22:27:57",54,22,88,0,"2897"
104,1,0,"2015-05-28 22:27:57",43,16,92,0,"2898"
105,1,0,"2015-05-28 22:29:48",37,23,91,0,"4150"
106,1,0,"2015-05-28 22:30:10",36,17,88,0,"4180"
107,1,0,"2015-05-28 22:36:10",39,14,74,0,"7779"
108,1,0,"2015-05-28 22:37:54",65,15,83,0,"9219"
109,1,1,"2015-05-28 22:41:54",51,17,80,0,"11939"
110,1,0,"2015-05-28 22:42:09",36,21,90,0,"11963"
111,1,1,"2015-05-28 22:44:56",45,18,70,0,"13833"
112,1,0,"2015-05-28 22:53:50",36,19,89,0,"19322"
113,1,0,"2015-05-28 22:56:18",44,24,93,0,"20472"
114,1,1,"2015-05-28 22:59:41",36,20,78,0,"22648"
115,1,1,"2015-05-28 22:59:58",41,16,76,0,"22696"
116,1,0,"2015-05-28 23:07:33",34,19,126,0,"27038"
117,1,0,"2015-05-28 23:08:30",44,14,54,0,"27399"
118,1,0,"2015-05-28 23:08:36",34,22,89,0,"27403"
119,1,1,"2015-05-28 23:09:13",42,13,72,0,"27776"
120,1,0,"2015-05-28 23:12:33",44,23,123,0,"1517"
121,1,0,"2015-05-28 23:20:22",43,20,82,0,"379"
122,1,1,"2015-05-28 23:27:41",47,40,78,0,"4420"
123,1,0,"2015-05-28 23:30:42",47,19,80,0,"5887"
124,1,1,"2015-05-28 23:40:09",34,15,91,0,"10360"
125,1,1,"2015-05-28 23:42:20",50,24,83,0,"11465"
126,1,0,"2015-05-28 23:46:51",44,19,87,0,"13885"
127,1,0,"2015-05-28 23:50:35",43,17,83,0,"15571"
128,1,0,"2015-05-28 23:52:45",41,21,93,0,"16782"
129,1,1,"2015-05-28 23:54:40",45,18,85,0,"17400"
130,1,0,"2015-05-28 23:56:09",44,18,85,0,"17893"
131,1,1,"2015-05-28 23:57:20",34,18,87,0,"18602"
132,1,0,"2015-05-28 23:59:25",41,20,84,0,"19204"
133,1,0,"2015-05-29 00:01:06",40,22,79,0,"20196"
134,1,1,"2015-05-29 00:04:13",43,14,74,0,"21577"
135,1,1,"2015-05-29 00:08:56",40,13,106,0,"23221"
136,1,0,"2015-05-29 00:36:38",37,15,89,0,"3618"
137,1,1,"2015-05-29 00:44:05",40,22,88,0,"5543"
138,1,1,"2015-05-29 00:47:37",38,13,64,0,"6632"
139,1,0,"2015-05-29 00:50:58",47,17,91,0,"7427"
140,1,1,"2015-05-29 01:10:27",34,15,58,0,"10834"
141,1,1,"2015-05-29 01:28:55",48,16,88,0,"13445"
142,1,0,"2015-05-29 01:54:18",41,38,87,0,"16631"
143,1,0,"2015-05-29 02:12:24",40,15,99,0,"18674"
144,1,0,"2015-05-29 03:11:22",51,23,76,0,"23887"
145,1,0,"2015-05-29 04:42:37",50,23,58,0,"29487"
146,1,0,"2015-05-29 04:56:13",36,10,56,0,"30673"
147,1,0,"2015-05-29 05:17:32",37,21,59,0,"33381"
148,1,0,"2015-05-29 05:32:57",36,13,87,0,"35775"
149,1,0,"2015-05-29 05:38:33",34,16,110,0,"36849"
150,1,0,"2015-05-29 05:57:55",38,16,76,0,"40847"
151,1,0,"2015-05-29 06:23:08",36,17,53,0,"48448"
152,1,1,"2015-05-29 06:23:30",44,16,79,0,"48531"
153,1,0,"2015-05-29 06:27:48",44,22,87,0,"49845"
154,1,0,"2015-05-29 06:31:35",47,32,64,0,"51386"
155,1,0,"2015-05-29 06:32:29",44,31,85,0,"51636"
156,1,1,"2015-05-29 06:33:22",45,29,84,0,"51816"
157,1,1,"2015-05-29 06:35:50",34,31,87,0,"52811"
158,1,1,"2015-05-29 06:42:09",36,28,78,0,"55354"
159,1,0,"2015-05-29 06:49:04",48,37,89,0,"57990"
160,1,1,"2015-05-29 06:55:46",46,35,73,0,"61081"
161,1,0,"2015-05-29 06:58:32",50,37,98,0,"645"
162,1,1,"2015-05-29 06:58:34",46,34,86,0,"677"
163,1,1,"2015-05-29 06:58:37",40,31,95,0,"755"
164,1,0,"2015-05-29 07:01:55",48,37,82,0,"2115"
165,1,0,"2015-05-29 07:04:22",43,31,82,0,"1315"
166,1,1,"2015-05-29 07:05:44",38,31,85,0,"2229"
167,1,0,"2015-05-29 07:06:43",46,40,85,0,"2499"
168,1,1,"2015-05-29 07:07:15",49,37,82,0,"2869"
169,1,1,"2015-05-29 07:10:34",44,39,84,0,"3881"
170,1,0,"2015-05-29 07:11:11",49,38,97,0,"4012"
171,1,0,"2015-05-29 07:11:29",38,33,86,0,"4064"
172,1,1,"2015-05-29 07:11:53",48,35,90,0,"4197"
173,1,1,"2015-05-29 07:12:21",53,35,77,0,"4390"
174,1,1,"2015-05-29 07:13:56",50,37,78,0,"5009"
175,1,1,"2015-05-29 07:20:13",45,36,81,0,"7177"
