DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
1432304,1,0,"2017-03-26 00:01:25",45,23,90,0,"2085369"
1432305,1,0,"2017-03-26 00:24:28",29,14,99,0,"2093643"
1432306,1,0,"2017-03-26 00:25:41",41,23,99,0,"2093911"
1432307,1,0,"2017-03-26 00:25:49",45,23,110,0,"2093917"
1432308,1,0,"2017-03-26 00:25:50",50,20,110,0,"2093918"
1432309,1,1,"2017-03-26 00:26:35",37,22,186,0,"2094101"
1432310,1,1,"2017-03-26 00:30:27",52,28,190,0,"2095292"
1432311,1,1,"2017-03-26 00:46:10",46,27,194,0,"2100420"
1432312,1,0,"2017-03-26 00:57:09",39,14,98,0,"2103939"
1432313,1,0,"2017-03-26 01:00:18",40,15,114,0,"2104909"
1432314,1,0,"2017-03-26 01:41:41",46,24,77,0,"2115839"
1432315,1,1,"2017-03-26 01:43:38",48,26,190,0,"2116278"
1432316,1,1,"2017-03-26 01:44:53",44,24,106,0,"2116668"
1432317,1,0,"2017-03-26 02:09:46",52,20,104,0,"2122795"
1432318,1,0,"2017-03-26 02:10:58",43,19,100,0,"2123095"
1432319,1,1,"2017-03-26 02:20:20",31,22,226,0,"2125112"
1432320,1,0,"2017-03-26 02:21:30",36,19,96,0,"2125454"
1432321,1,0,"2017-03-26 02:21:31",41,22,100,0,"2125456"
1432322,1,1,"2017-03-26 02:32:51",30,20,192,0,"2127740"
1432323,1,1,"2017-03-26 02:32:52",49,21,179,0,"2127742"
1432324,1,0,"2017-03-26 02:33:30",49,24,97,0,"2127890"
1432325,1,0,"2017-03-26 02:46:26",43,22,85,0,"2130674"
1432326,1,0,"2017-03-26 02:46:28",45,21,99,0,"2130689"
1432327,1,1,"2017-03-26 03:13:57",43,17,105,0,"2135509"
1432328,1,1,"2017-03-26 03:40:43",34,16,108,0,"2139767"
1432329,1,0,"2017-03-26 03:45:31",29,26,97,0,"2140447"
1432330,1,1,"2017-03-26 03:46:43",34,29,152,0,"2140662"
1432331,1,0,"2017-03-26 03:47:34",46,20,60,0,"2140795"
1432332,1,0,"2017-03-26 03:52:23",66,35,96,0,"2141418"
1432333,1,0,"2017-03-26 04:11:33",42,28,96,0,"2143683"
1432334,1,0,"2017-03-26 04:11:53",29,16,96,0,"2143719"
1432335,1,0,"2017-03-26 04:37:36",36,29,99,0,"2146616"
1432336,1,0,"2017-03-26 04:37:38",41,29,99,0,"2146633"
1432337,1,1,"2017-03-26 04:41:36",49,23,104,0,"2147010"
1432338,1,0,"2017-03-26 04:49:52",34,22,85,0,"2147812"
1432339,1,1,"2017-03-26 04:50:38",52,24,115,0,"2147857"
1432340,1,1,"2017-03-26 05:03:57",49,24,188,0,"2149159"
1432341,1,0,"2017-03-26 05:04:29",36,26,103,0,"2149180"
1432342,1,1,"2017-03-26 05:16:47",49,23,95,0,"2150508"
1432343,1,0,"2017-03-26 05:26:00",40,21,93,0,"2151449"
1432344,1,0,"2017-03-26 05:33:06",45,25,90,0,"2152349"
1432345,1,1,"2017-03-26 05:33:37",48,20,182,0,"2152405"
1432346,1,0,"2017-03-26 05:52:00",45,23,92,0,"2154863"
1432347,1,0,"2017-03-26 06:00:10",39,22,99,0,"2155706"
1432348,1,1,"2017-03-26 06:00:52",49,22,180,0,"2155786"
1432349,1,0,"2017-03-26 06:05:35",69,36,103,0,"2156302"
1432350,1,0,"2017-03-26 06:06:24",49,27,93,0,"2156409"
1432351,1,0,"2017-03-26 06:08:01",29,21,93,0,"2156619"
1432352,1,0,"2017-03-26 06:09:07",69,7,92,0,"2156668"
1432353,1,0,"2017-03-26 06:09:08",52,29,95,0,"2156669"
1432354,1,1,"2017-03-26 06:13:54",49,28,105,0,"2156979"
1432355,1,0,"2017-03-26 06:27:44",52,32,105,0,"2157945"
1432356,1,1,"2017-03-26 06:29:41",50,28,189,0,"2158057"
1432357,1,1,"2017-03-26 06:29:42",50,32,109,0,"2158062"
1432358,1,1,"2017-03-26 06:31:43",54,31,111,0,"2158259"
1432359,1,0,"2017-03-26 06:33:21",51,33,92,0,"2158398"
1432360,1,1,"2017-03-26 06:37:46",33,35,115,0,"2158652"
1432361,1,1,"2017-03-26 06:37:47",42,44,199,0,"2158649"
1432362,1,0,"2017-03-26 06:43:33",53,28,90,0,"2159072"
1432363,1,0,"2017-03-26 06:43:52",31,21,94,0,"2159122"
1432364,1,1,"2017-03-26 06:44:00",53,31,107,0,"2159134"
1432365,1,1,"2017-03-26 06:45:15",48,30,194,0,"2159252"
1432366,1,1,"2017-03-26 06:48:46",53,32,116,0,"2159446"
1432367,1,1,"2017-03-26 06:50:38",49,30,112,0,"2159605"
1432368,1,1,"2017-03-26 06:52:33",38,38,193,0,"2159660"
1432369,1,1,"2017-03-26 06:52:35",52,31,190,0,"2159665"
1432370,1,1,"2017-03-26 06:54:05",29,24,127,0,"2159761"
1432371,1,1,"2017-03-26 06:54:34",60,38,192,0,"2159825"
1432372,1,1,"2017-03-26 06:55:47",50,32,99,0,"2159863"
1432373,1,1,"2017-03-26 06:56:54",53,34,105,0,"2159949"
1432374,1,0,"2017-03-26 06:58:32",49,33,110,0,"2160031"
1432375,1,1,"2017-03-26 06:58:41",53,35,190,0,"2160034"
1432376,1,0,"2017-03-26 06:59:34",59,42,99,0,"2160115"
1432377,1,1,"2017-03-26 07:04:27",54,41,183,0,"2160501"
1432378,1,1,"2017-03-26 07:06:27",52,31,185,0,"2160744"
1432379,1,0,"2017-03-26 07:06:44",43,40,94,0,"2160789"
1432380,1,1,"2017-03-26 07:08:43",53,31,104,0,"2161051"
1432381,1,1,"2017-03-26 07:08:52",52,32,117,0,"2161088"
1432382,1,0,"2017-03-26 07:09:43",45,31,103,0,"2161104"
1432383,1,1,"2017-03-26 07:11:52",59,41,189,0,"2161372"
1432384,1,1,"2017-03-26 07:11:53",55,35,189,0,"2161373"
1432385,1,0,"2017-03-26 07:12:05",52,36,91,0,"2161420"
1432386,1,1,"2017-03-26 07:12:18",59,34,131,0,"2161430"
1432387,1,1,"2017-03-26 07:12:21",58,36,186,0,"2161440"
1432388,1,1,"2017-03-26 07:12:43",51,31,54,0,"2161503"
1432389,1,0,"2017-03-26 07:12:58",51,34,94,0,"2161542"
1432390,1,1,"2017-03-26 07:13:15",49,32,93,0,"2161557"
1432391,1,0,"2017-03-26 07:18:31",53,33,100,0,"2162010"
1432392,1,1,"2017-03-26 07:20:13",53,32,187,0,"2162113"
1432393,1,0,"2017-03-26 07:20:19",54,33,107,0,"2162117"
1432394,1,1,"2017-03-26 07:20:22",52,35,190,0,"2162119"
