DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
1401079,1,0,"2017-03-14 00:03:16",51,24,92,0,"599383"
1401080,1,0,"2017-03-14 00:03:17",53,17,75,0,"599386"
1401081,1,0,"2017-03-14 00:03:26",37,25,88,0,"599436"
1401082,1,0,"2017-03-14 00:03:26",45,22,103,0,"599439"
1401083,1,1,"2017-03-14 00:08:42",50,25,109,0,"600178"
1401084,1,0,"2017-03-14 00:14:15",42,23,92,0,"601095"
1401085,1,0,"2017-03-14 00:16:12",44,22,97,0,"601412"
1401086,1,0,"2017-03-14 00:17:46",31,15,122,0,"601746"
1401087,1,0,"2017-03-14 00:29:31",51,24,90,0,"603498"
1401088,1,0,"2017-03-14 00:31:28",44,11,97,0,"603668"
1401089,1,1,"2017-03-14 00:42:27",43,22,114,0,"605019"
1401090,1,0,"2017-03-14 00:44:04",30,19,97,0,"605154"
1401091,1,0,"2017-03-14 00:55:40",55,27,96,0,"606384"
1401092,1,1,"2017-03-14 00:59:35",53,20,102,0,"606806"
1401093,1,0,"2017-03-14 02:58:13",40,23,97,0,"614218"
1401094,1,1,"2017-03-14 03:51:26",55,20,110,0,"616668"
1401095,1,1,"2017-03-14 04:50:52",52,27,103,0,"619730"
1401096,1,0,"2017-03-14 05:08:49",48,26,91,0,"621205"
1401097,1,0,"2017-03-14 05:19:01",42,21,95,0,"622536"
1401098,1,1,"2017-03-14 05:20:16",52,16,111,0,"622784"
1401099,1,0,"2017-03-14 05:24:59",52,23,91,0,"623475"
1401100,1,0,"2017-03-14 05:25:00",49,8,89,0,"623478"
1401101,1,1,"2017-03-14 05:31:51",50,25,131,0,"624501"
1401102,1,1,"2017-03-14 05:31:54",32,21,60,0,"624507"
1401103,1,1,"2017-03-14 05:32:49",56,25,117,0,"624780"
1401104,1,1,"2017-03-14 05:33:33",53,24,114,0,"624924"
1401105,1,1,"2017-03-14 05:36:43",55,23,111,0,"625605"
1401106,1,1,"2017-03-14 05:38:15",56,25,106,0,"625861"
1401107,1,0,"2017-03-14 05:48:56",34,21,96,0,"628336"
1401108,1,0,"2017-03-14 05:49:04",46,16,93,0,"628381"
1401109,1,1,"2017-03-14 05:49:18",30,19,99,0,"628408"
1401110,1,1,"2017-03-14 05:54:11",40,23,180,0,"629705"
1401111,1,0,"2017-03-14 05:54:38",49,12,91,0,"629813"
1401112,1,1,"2017-03-14 05:56:35",31,19,211,0,"630299"
1401113,1,0,"2017-03-14 06:01:22",47,19,101,0,"631572"
1401114,1,1,"2017-03-14 06:02:43",56,25,182,0,"631920"
1401115,1,1,"2017-03-14 06:03:09",54,25,108,0,"631947"
1401116,1,0,"2017-03-14 06:06:51",49,23,98,0,"632608"
1401117,1,1,"2017-03-14 06:10:07",29,21,115,0,"633597"
1401118,1,1,"2017-03-14 06:10:23",60,24,121,0,"633670"
1401119,1,0,"2017-03-14 06:11:17",55,26,111,0,"633841"
1401120,1,0,"2017-03-14 06:13:06",52,26,97,0,"634190"
1401121,1,0,"2017-03-14 06:13:10",33,22,113,0,"634196"
1401122,1,0,"2017-03-14 06:13:37",58,27,107,0,"634212"
1401123,1,1,"2017-03-14 06:14:04",55,29,120,0,"634508"
1401124,1,0,"2017-03-14 06:14:43",55,31,106,0,"634635"
1401125,1,0,"2017-03-14 06:16:58",52,27,104,0,"635145"
1401126,1,1,"2017-03-14 06:17:05",57,28,72,0,"635207"
1401127,1,1,"2017-03-14 06:17:13",57,27,117,0,"635246"
1401128,1,0,"2017-03-14 06:18:53",54,32,100,0,"635658"
1401129,1,1,"2017-03-14 06:19:39",34,25,189,0,"635825"
1401130,1,1,"2017-03-14 06:20:21",52,25,202,0,"635961"
1401131,1,1,"2017-03-14 06:20:25",53,27,104,0,"635990"
1401132,1,0,"2017-03-14 06:21:59",56,29,99,0,"636396"
1401133,1,0,"2017-03-14 06:23:01",56,30,100,0,"636791"
1401134,1,0,"2017-03-14 06:23:02",54,30,61,0,"636795"
1401135,1,1,"2017-03-14 06:23:44",53,25,81,0,"636970"
1401136,1,1,"2017-03-14 06:23:45",55,27,94,0,"636973"
1401137,1,1,"2017-03-14 06:23:53",30,20,183,0,"637049"
1401138,1,0,"2017-03-14 06:24:44",33,24,104,0,"637365"
1401139,1,0,"2017-03-14 06:25:22",54,29,98,0,"637468"
1401140,1,0,"2017-03-14 06:25:38",32,21,124,0,"637620"
1401141,1,0,"2017-03-14 06:26:07",60,31,114,0,"637721"
1401142,1,0,"2017-03-14 06:26:52",53,29,108,0,"637843"
1401143,1,0,"2017-03-14 06:29:16",29,24,99,0,"638440"
1401144,1,0,"2017-03-14 06:29:22",52,27,99,0,"638451"
1401145,1,0,"2017-03-14 06:30:38",54,24,105,0,"638785"
1401146,1,0,"2017-03-14 06:33:41",52,28,101,0,"639279"
1401147,1,1,"2017-03-14 06:34:36",46,25,124,0,"639618"
1401148,1,0,"2017-03-14 06:36:02",49,28,102,0,"640155"
1401149,1,1,"2017-03-14 06:37:08",54,27,106,0,"640409"
1401150,1,1,"2017-03-14 06:37:45",48,25,96,0,"640601"
1401151,1,0,"2017-03-14 06:37:50",42,24,90,0,"640606"
1401152,1,0,"2017-03-14 06:38:49",54,34,105,0,"640771"
1401153,1,1,"2017-03-14 06:38:51",59,30,112,0,"640798"
1401154,1,1,"2017-03-14 06:38:52",63,32,185,0,"640817"
1401155,1,0,"2017-03-14 06:39:06",53,27,99,0,"640949"
1401156,1,1,"2017-03-14 06:39:37",55,29,108,0,"641064"
1401157,1,1,"2017-03-14 06:40:27",63,35,118,0,"641256"
1401158,1,1,"2017-03-14 06:40:33",52,30,96,0,"641370"
1401159,1,0,"2017-03-14 06:42:09",50,25,90,0,"641759"
1401160,1,1,"2017-03-14 06:42:11",55,28,90,0,"641781"
1401161,1,1,"2017-03-14 06:43:48",46,24,106,0,"642308"
1401162,1,1,"2017-03-14 06:43:52",56,29,107,0,"642400"
1401163,1,0,"2017-03-14 06:45:08",50,28,94,0,"642743"
1401164,1,0,"2017-03-14 06:45:22",57,29,103,0,"642786"
1401165,1,1,"2017-03-14 06:45:39",53,29,206,0,"642970"
1401166,1,1,"2017-03-14 06:47:16",51,28,192,0,"643394"
1401167,1,1,"2017-03-14 06:47:43",60,34,119,0,"643593"
1401168,1,1,"2017-03-14 06:48:51",66,36,103,0,"643813"
1401169,1,0,"2017-03-14 06:49:38",56,36,88,0,"644089"
1401170,1,1,"2017-03-14 06:51:09",62,34,115,0,"644632"
1401171,1,1,"2017-03-14 06:51:17",59,32,106,0,"644649"
1401172,1,0,"2017-03-14 06:51:18",58,35,91,0,"644650"
1401173,1,1,"2017-03-14 06:52:12",51,27,114,0,"644900"
1401174,1,1,"2017-03-14 06:52:41",36,26,128,0,"645245"
1401175,1,1,"2017-03-14 06:54:07",55,31,111,0,"645744"
1401176,1,1,"2017-03-14 06:54:40",58,31,68,0,"646046"
1401177,1,0,"2017-03-14 06:56:49",58,35,89,0,"646568"
1401178,1,1,"2017-03-14 06:57:13",53,29,110,0,"646875"
1401179,1,0,"2017-03-14 06:58:23",51,32,97,0,"647273"
1401180,1,0,"2017-03-14 06:58:55",52,34,108,0,"647560"
1401181,1,1,"2017-03-14 06:59:05",52,31,77,0,"647711"
1401182,1,1,"2017-03-14 07:02:20",53,30,109,0,"648969"
1401183,1,0,"2017-03-14 07:05:39",56,30,108,0,"650164"
1401184,1,0,"2017-03-14 07:06:16",43,26,106,0,"650448"
1401185,1,0,"2017-03-14 07:06:42",55,36,69,0,"650492"
1401186,1,0,"2017-03-14 07:09:10",52,35,105,0,"651659"
1401187,1,0,"2017-03-14 07:09:26",48,31,99,0,"651771"
1401188,1,0,"2017-03-14 07:09:52",52,33,105,0,"651890"
1401189,1,1,"2017-03-14 07:10:44",56,30,107,0,"652336"
1401190,1,1,"2017-03-14 07:12:08",58,33,118,0,"652760"
1401191,1,1,"2017-03-14 07:12:12",57,32,112,0,"652798"
1401192,1,1,"2017-03-14 07:12:15",53,31,125,0,"652844"
1401193,1,0,"2017-03-14 07:12:27",57,33,107,0,"653044"
1401194,1,1,"2017-03-14 07:13:48",57,31,122,0,"653475"
1401195,1,0,"2017-03-14 07:15:27",53,33,99,0,"654364"
1401196,1,0,"2017-03-14 07:16:13",55,38,93,0,"654676"
1401197,1,0,"2017-03-14 07:17:04",51,34,105,0,"654814"
1401198,1,1,"2017-03-14 07:17:10",52,30,170,0,"654919"
1401199,1,0,"2017-03-14 07:17:59",51,34,96,0,"655342"
1401200,1,0,"2017-03-14 07:18:21",57,33,98,0,"655377"
1401201,1,1,"2017-03-14 07:18:46",52,31,106,0,"655472"
1401202,1,1,"2017-03-14 07:18:52",57,34,116,0,"655540"
1401203,1,1,"2017-03-14 07:18:56",53,32,191,0,"655584"
1401204,1,1,"2017-03-14 07:19:24",54,28,184,0,"655917"
1401205,1,1,"2017-03-14 07:19:33",53,30,53,0,"655947"
1401206,1,0,"2017-03-14 07:20:08",52,33,97,0,"656006"
1401207,1,1,"2017-03-14 07:20:21",59,34,100,0,"656098"
1401208,1,1,"2017-03-14 07:20:21",57,32,180,0,"656097"
1401209,1,1,"2017-03-14 07:20:28",51,27,119,0,"656217"
1401210,1,0,"2017-03-14 07:20:30",44,25,84,0,"656237"
1401211,1,0,"2017-03-14 07:21:41",55,35,101,0,"656788"
1401212,1,0,"2017-03-14 07:21:59",45,26,110,0,"656839"
1401213,1,0,"2017-03-14 07:22:04",53,27,94,0,"656913"
1401214,1,0,"2017-03-14 07:22:09",48,28,89,0,"656983"
1401215,1,1,"2017-03-14 07:22:16",50,31,202,0,"657079"
1401216,1,0,"2017-03-14 07:23:44",52,31,103,0,"657471"
1401217,1,1,"2017-03-14 07:23:48",67,36,125,0,"657549"
1401218,1,0,"2017-03-14 07:23:54",52,28,97,0,"657674"
1401219,1,0,"2017-03-14 07:23:54",55,32,88,0,"657680"
1401220,1,1,"2017-03-14 07:24:00",62,32,117,0,"657794"
1401221,1,0,"2017-03-14 07:25:15",53,30,102,0,"658153"
1401222,1,1,"2017-03-14 07:25:31",54,27,109,0,"658274"
1401223,1,1,"2017-03-14 07:25:35",52,30,97,0,"658350"
1401224,1,1,"2017-03-14 07:25:46",57,35,103,0,"658494"
1401225,1,1,"2017-03-14 07:25:48",59,32,109,0,"658524"
1401226,1,0,"2017-03-14 07:25:49",53,30,57,0,"658542"
1401227,1,1,"2017-03-14 07:26:06",51,27,102,0,"658674"
1401228,1,0,"2017-03-14 07:26:54",55,33,99,0,"658823"
1401229,1,0,"2017-03-14 07:26:59",57,36,99,0,"658864"
1401230,1,1,"2017-03-14 07:27:06",53,28,107,0,"658967"
1401231,1,1,"2017-03-14 07:27:52",52,28,192,0,"659371"
1401232,1,1,"2017-03-14 07:27:56",54,30,103,0,"659395"
1401233,1,0,"2017-03-14 07:28:37",51,33,99,0,"659530"
1401234,1,1,"2017-03-14 07:28:47",54,33,68,0,"659631"
1401235,1,1,"2017-03-14 07:28:52",53,34,120,0,"659673"
1401236,1,1,"2017-03-14 07:28:55",56,37,74,0,"659716"
1401237,1,1,"2017-03-14 07:29:00",54,29,129,0,"659776"
1401238,1,0,"2017-03-14 07:29:04",57,35,98,0,"659822"
1401239,1,1,"2017-03-14 07:29:07",60,33,198,0,"659859"
1401240,1,0,"2017-03-14 07:30:04",59,47,99,0,"660224"
1401241,1,1,"2017-03-14 07:31:01",57,31,118,0,"660654"
1401242,1,0,"2017-03-14 07:31:03",56,35,68,0,"660664"
1401243,1,1,"2017-03-14 07:31:11",52,30,112,0,"660829"
1401244,1,0,"2017-03-14 07:31:37",56,34,107,0,"661025"
1401245,1,1,"2017-03-14 07:32:07",51,28,187,0,"661093"
